Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,420264,21219.66,32451.72,107379.3,115590.11,0,0,-11232.060000000001,4880.877272727273,-510.5481818181819,September 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,530585,3508.97,4539.83,97272.5,99473.39,0,0,-1030.8600000000001,3741.25,-39.64846153846155,September 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,258984,266.21,935.29,28203.83,28727.49,3,0,-669.0799999999999,1880.2553333333335,-44.60533333333333,September 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,108680,43.51,133.09,8926.8,9029.59,0,0,-89.58000000000001,743.9,-7.465000000000001,September 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,3,26259,154.49,43.73,2828.43,2772.25,0,0,110.76000000000002,942.81,36.92000000000001,September 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,218018,355.05,1108.43,22083.9,22614.04,0,0,-753.3800000000001,920.1625,-31.390833333333337,September 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,632920,884.83,3810.59,112782.6,114265.58,0,0,-2925.76,5370.6,-139.32190476190476,September 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,258089,158.98,650.95,25821.13,26106.29,3,0,-491.97,1721.4086666666667,-32.798,September 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,314405,801.1,5026.15,77677.77,80401.09,0,0,-4225.049999999999,3377.2943478260872,-183.6978260869565,September 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,171195,338.07,331.42,15700.26,15731.52,0,0,6.649999999999977,713.6481818181818,0.30227272727272625,September 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,5,43862,67.52,66.32,1498.84,1520.0,0,0,1.2000000000000028,299.768,0.24000000000000057,September 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,248588,3298.09,4415.74,62811.57,64005.65,0,0,-1117.6499999999996,5234.2975,-93.13749999999997,September 2022
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,317,7205006,903783.12,969155.52,1241674.09,1332235.88,7,0,-65372.40000000002,3916.952965299685,-206.22208201892752,September 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,3598855,1679.53,954.82,62435.41,63079.86,0,0,724.7099999999999,4459.672142857143,51.76499999999999,September 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12873410,3491.52,3217.34,233619.48,238986.66,0,0,274.17999999999984,7536.112258064516,8.844516129032252,September 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,7360105,3100.4,1631.58,121761.61,123515.65,0,0,1468.8200000000002,4509.689259259259,54.400740740740744,September 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,9672659,4398.42,2247.27,178867.43,181018.53,0,0,2151.15,6388.1224999999995,76.82678571428572,September 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,9247406,3571.19,1745.71,123153.93,123672.99,0,0,1825.48,5131.41375,76.06166666666667,September 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,590901,165.52,123.66,9910.09,10097.88,0,0,41.860000000000014,1238.76125,5.232500000000002,September 2022
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,4309767,1426.12,906.93,84511.49,85867.65,0,0,519.1899999999999,3841.431363636364,23.599545454545453,September 2022
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,5328712,1978.21,1780.25,102208.64,104212.35,0,0,197.96000000000004,3785.5051851851854,7.331851851851853,September 2022
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,121,12625526,8194.69,3776.07,159075.5,158772.1,0,0,4418.620000000001,1314.6735537190082,36.51752066115703,September 2022
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,39,14370815,1596.31,1519.75,149371.14,152953.08,0,0,76.55999999999995,3830.029230769231,1.9630769230769216,September 2022
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,34,12443255,5995.47,3594.27,238885.44,244057.98,0,0,2401.2000000000003,7026.042352941176,70.62352941176471,September 2022
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,375,92421411,35597.37,21497.64,1463800.17,1486234.75,0,0,14099.730000000003,3903.46712,37.59928000000001,September 2022
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,517464,533.41,403.23,22323.94,22403.46,1,0,130.17999999999995,1063.0447619047618,6.199047619047617,September 2022
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,32,5249546,2811.72,2051.28,154007.53,156531.42,2,9.33,760.4399999999996,4812.7353125,23.763749999999987,September 2022
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,27,4453840,4251.69,3726.99,189849.22,194139.09,0,0,524.6999999999998,7031.452592592593,19.433333333333326,September 2022
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,9,843516,513.95,391.33,20839.69,22241.21,0,0,122.62000000000006,2315.521111111111,13.624444444444451,September 2022
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,26,488524,3678.67,7701.45,77689.88,93556.04,0,0,-4022.7799999999997,2988.0723076923077,-154.72230769230768,September 2022
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,366524,572.26,775.39,17037.94,17895.4,2,25.81,-203.13,774.4518181818181,-9.233181818181817,September 2022
Sub Total - III (i+ii+iii+iv+v+vi),,,137,11919414,12361.7,15049.67,481748.21,506766.61,5,35.14,-2687.9699999999993,3516.410291970803,-19.620218978102184,September 2022
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,26,2719117,275.37,122.31,17271.05,17457.13,0,0,153.06,664.2711538461538,5.886923076923077,September 2022
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2906735,106.76,46.47,13752.04,13897.07,0,0,60.290000000000006,1375.2040000000002,6.029000000000001,September 2022
Sub Total - IV (i+ii),,,36,5625852,382.13,168.77,31023.09,31354.2,0,0,213.35999999999999,861.7525,5.926666666666666,September 2022
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
Index Funds,Open ended Schemes,Other Schemes,105,2908897,8397.19,6079.99,104993.95,105686.79,0,0,2317.2000000000007,999.942380952381,22.068571428571435,September 2022
GOLD ETF,Open ended Schemes,Other Schemes,11,4645081,425.79,95.55,19861.3,19429.14,0,0,330.24,1805.5727272727272,30.021818181818183,September 2022
Other ETFs,Open ended Schemes,Other Schemes,141,11605124,15264.57,4456.97,454854.85,459572.95,0,0,10807.599999999999,3225.9209219858153,76.64964539007092,September 2022
Fund of funds investing overseas,Open ended Schemes,Other Schemes,48,1256035,646.44,478.13,18945.0,19861.25,0,0,168.31000000000006,394.6875,3.5064583333333346,September 2022
Sub Total - V (i+ii+iii+iv),,,305,20415137,24733.98,11110.64,598655.1,604550.13,0,0,13623.34,1962.803606557377,44.666688524590164,September 2022
Total A-Open ended Schemes,,,1170,137586820,976858.3,1016982.25,3816900.66,3961141.58,12,35.14,-40123.94999999995,3262.3082564102565,-34.29397435897432,September 2022
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,87,105513,1116.78,2072.66,15134.4,16328.8,0,0,-955.8799999999999,173.95862068965516,-10.987126436781608,September 2022
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,7,12653,0,154.85,630.05,689.1,0,0,-154.85,90.00714285714285,-22.12142857142857,September 2022
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,2067.71,2062.67,0,0,0,258.46375,0.0,September 2022
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2022
Sub Total (i+ii+iii+iv),,,102,118246,1116.78,2227.51,17832.16,19080.57,0,0,-1110.7300000000002,174.82509803921567,-10.889509803921571,September 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,305619,0,22.66,3611.14,3679.55,0,0,-22.66,190.06,-1.1926315789473685,September 2022
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,13,73741,0,0,3331.38,3376.45,0,0,0,256.26,0.0,September 2022
Sub Total (i+ii),,,32,379360,0,22.66,6942.52,7056.0,0,0,-22.66,216.95375,-0.708125,September 2022
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2022
Total B -Close ended Schemes,,,134,497606,1116.78,2250.17,24774.68,26136.57,0,0,-1133.39,184.88567164179105,-8.45813432835821,September 2022
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2022
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,12,2902,3.01,149.97,675.4,712.12,0,0,-146.96,56.28333333333333,-12.246666666666668,September 2022
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2022
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2022
Total C Interval Schemes,,,12,2902,3.01,149.97,675.4,712.12,0,0,-146.96,56.28333333333333,-12.246666666666668,September 2022
Grand Total,,,1316,138087328,977978.09,1019382.39,3842350.73,3987990.26,12,35.14,-41404.30000000005,2919.7193996960486,-31.462234042553227,September 2022
Fund of Funds Scheme (Domestic) **,,,74,1784391,1894.07,1173.06,55420.06,55477.68,0,0,721.01,748.9197297297297,9.743378378378377,September 2022
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,32,608994,421677.17,438082.3,106254.59,143593.77,0,0,-16405.130000000005,3320.4559375,-512.6603125000001,August 2022
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,37,1752790,333449.62,283353.8,411291.99,421076.44,0,0,50095.82000000001,11115.999729729729,1353.9410810810812,August 2022
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,620888,21135.38,14762.97,97575.87,94831.89,0,0,6372.410000000002,3752.9180769230766,245.09269230769237,August 2022
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,995936,11408.22,8444.11,102931.84,101662.55,1,0,2964.1099999999988,4678.72,134.73227272727266,August 2022
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,417852,25646.23,19717.45,118232.4,114710.45,0,0,5928.779999999999,5374.2,269.48999999999995,August 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,535625,6814.83,4225.18,98862.56,96811.39,0,0,2589.6499999999996,3802.4061538461538,99.60192307692306,August 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,262892,494.93,596.82,28969.6,28878.59,4,130.59,-101.89000000000004,1810.6,-6.368125000000003,August 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,112528,81.11,141.03,9081.81,9044.05,0,0,-59.92,698.6007692307692,-4.609230769230769,August 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,3,26037,147.14,49.97,2732.89,2661.74,0,0,97.16999999999999,910.9633333333333,32.38999999999999,August 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,222528,1263.24,364.59,22991.71,22640.85,1,50.08,898.6500000000001,919.6684,35.946000000000005,August 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,629857,3322.28,2649.58,115412.21,114685.93,0,0,672.7000000000003,5495.819523809524,32.033333333333346,August 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,260902,300.02,388.36,26297.9,26258.41,4,66.37,-88.34000000000003,1753.1933333333334,-5.889333333333336,August 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,23,317833,1950.03,3330.25,81787.11,81975.21,0,0,-1380.22,3555.961304347826,-60.009565217391305,August 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,172746,652.28,283.6,15674.65,15489.75,0,0,368.67999999999995,712.4840909090909,16.758181818181814,August 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,5,44501,160.22,662.92,1511.53,1470.32,0,0,-502.69999999999993,302.306,-100.53999999999999,August 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,251047,1934.53,4220.04,63624.97,64362.21,0,0,-2285.51,5302.080833333333,-190.45916666666668,August 2022
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,320,7232956,830437.25,781272.96,1303233.66,1340153.55,10,247.04,49164.29000000004,4072.6051875,153.63840625000012,August 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,3516764,1346.85,954.2,62108.53,60938.09,0,0,392.64999999999986,4436.323571428571,28.04642857142856,August 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12832758,3621.52,3577.93,240308.23,237993.98,0,0,43.590000000000146,7751.8783870967745,1.4061290322580693,August 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,7258212,2437.93,1406.96,122862.47,120902.06,0,0,1030.9699999999998,4550.461851851852,38.18407407407407,August 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,9420335,3716.62,2237.21,178094.34,174220.03,0,0,1479.4099999999999,6596.086666666666,54.79296296296296,August 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,8889305,2759.76,1499.78,120464.0,117225.51,0,0,1259.9800000000002,5019.333333333333,52.499166666666675,August 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,588848,136.62,166.58,10172.05,10123.99,0,0,-29.960000000000008,1271.50625,-3.745000000000001,August 2022
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,4252900,1228.84,874.35,85681.59,84301.04,0,0,354.4899999999999,3894.6177272727273,16.113181818181815,August 2022
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,5310404,2333.52,1447.36,104348.35,103088.31,0,0,886.1600000000001,3864.753703703704,32.820740740740746,August 2022
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,118,12455739,3022.12,4288.79,157811.81,157053.66,0,0,-1266.67,1337.388220338983,-10.73449152542373,August 2022
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,39,14294155,1433.39,1564.45,153608.45,151726.9,0,0,-131.05999999999995,3938.6782051282053,-3.360512820512819,August 2022
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,33,12285444,5808.55,3708.57,242438.49,238963.24,0,0,2099.98,7346.620909090909,63.63575757575757,August 2022
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,370,91104864,27845.75,21726.17,1477898.31,1456536.8,0,0,6119.580000000002,3994.3197567567568,16.53940540540541,August 2022
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,515506,535.56,334.51,22279.69,22045.68,1,0,201.04999999999995,1060.937619047619,9.57380952380952,August 2022
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,32,5218497,2756.33,2011.42,155900.46,154496.02,2,9.33,744.9099999999999,4871.889375,23.278437499999995,August 2022
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,26,4414372,3941.3,3090.39,192369.27,191700.03,0,0,850.9100000000003,7398.818076923077,32.727307692307704,August 2022
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,9,834709,432.04,305.32,21081.59,22030.17,0,0,126.72000000000003,2342.398888888889,14.080000000000004,August 2022
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,26,494632,3558.74,12106.82,81384.53,99090.33,0,0,-8548.08,3130.1742307692307,-328.77230769230766,August 2022
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,22,366286,584.19,561.25,17358.68,17874.79,2,25.81,22.940000000000055,789.0309090909091,1.0427272727272752,August 2022
Sub Total - III (i+ii+iii+iv+v+vi),,,136,11844002,11808.15,18409.72,490374.22,507237.02,5,35.14,-6601.5700000000015,3605.692794117647,-48.540955882352954,August 2022
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2704817,179.26,138.04,17407.58,17169.93,0,0,41.22,696.3032000000001,1.6488,August 2022
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2903665,100.8,49.48,13849.9,13697.18,0,0,51.32,1384.99,5.132,August 2022
Sub Total - IV (i+ii),,,35,5608482,280.06,187.52,31257.48,30867.1,0,0,92.53999999999999,893.0708571428571,2.6439999999999997,August 2022
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Index Funds,Open ended Schemes,Other Schemes,102,2829331,9766.37,1978.13,104742.43,100434.79,0,0,7788.240000000001,1026.886568627451,76.35529411764706,August 2022
GOLD ETF,Open ended Schemes,Other Schemes,11,4609726,149.62,187.75,19832.1,19967.38,0,0,-38.129999999999995,1802.9181818181817,-3.466363636363636,August 2022
Other ETFs,Open ended Schemes,Other Schemes,136,11493468,12421.72,5005.26,459208.03,451379.61,0,0,7416.459999999999,3376.5296323529415,54.53279411764705,August 2022
Fund of funds investing overseas,Open ended Schemes,Other Schemes,46,1246685,446.58,544.51,20507.49,21507.31,0,0,-97.93,445.81500000000005,-2.128913043478261,August 2022
Sub Total - V (i+ii+iii+iv),,,295,20179210,22784.29,7715.66,604290.04,593289.09,0,0,15068.630000000001,2048.440813559322,51.08010169491526,August 2022
Total A-Open ended Schemes,,,1156,135969514,893155.49,829312.02,3907053.71,3928083.56,15,282.18,63843.46999999997,3379.8042474048443,55.227915224913474,August 2022
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,92,106121,2292.9,778.76,16110.17,14581.23,0,0,1514.14,175.11054347826087,16.45804347826087,August 2022
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,9,15541,0,36.21,786.63,783.18,0,0,-36.21,87.40333333333334,-4.023333333333333,August 2022
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,2056.5,2052.95,0,0,0,257.0625,0.0,August 2022
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2022
Sub Total (i+ii+iii+iv),,,109,121742,2292.9,814.97,18953.3,17417.36,0,0,1477.93,173.8834862385321,13.558990825688074,August 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,306845,0,40.51,3693.68,3665.13,0,0,-40.51,194.40421052631578,-2.1321052631578947,August 2022
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,13,73765,0,136.83,3358.13,3431.76,0,0,-136.83,258.3176923076923,-10.525384615384617,August 2022
Sub Total (i+ii),,,32,380610,0,177.34,7051.81,7096.89,0,0,-177.34,220.3690625,-5.541875,August 2022
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2022
Total B -Close ended Schemes,,,141,502352,2292.9,992.3,26005.11,24514.25,0,0,1300.6000000000001,184.43340425531915,9.224113475177306,August 2022
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2022
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,12,2952,269.83,336.43,818.95,825.47,0,0,-66.60000000000002,68.24583333333334,-5.550000000000002,August 2022
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2022
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2022
Total C Interval Schemes,,,12,2952,269.83,336.43,818.95,825.47,0,0,-66.60000000000002,68.24583333333334,-5.550000000000002,August 2022
Grand Total,,,1309,136474818,895718.22,830640.76,3933877.77,3953423.28,15,282.18,65077.45999999996,3005.2542169595113,49.71540106951869,August 2022
Fund of Funds Scheme (Domestic) **,,,72,1781488,2574.71,892.16,55483.13,54903.21,0,0,1682.5500000000002,770.5990277777778,23.368750000000002,August 2022
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,614247,462219.1,442300.44,123409.85,136240.23,0,0,19918.659999999974,4113.661666666667,663.9553333333325,July 2022
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,37,1751686,256150.9,263843.55,358401.53,421458.65,0,0,-7692.649999999994,9686.527837837839,-207.9094594594593,July 2022
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,616009,17689.89,13961.87,90773.57,90400.83,0,0,3728.0199999999986,3491.291153846154,143.38538461538457,July 2022
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,1004139,10246.51,10892.1,99305.03,102401.04,1,0,-645.5900000000001,4513.865,-29.345000000000006,July 2022
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,416108,26382.69,23743.94,111688.71,114410.65,0,0,2638.75,5584.4355000000005,131.9375,July 2022
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,540403,950.46,2822.38,95152.93,96182.11,0,0,-1871.92,3806.1171999999997,-74.8768,July 2022
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,265574,177.7,723.31,28838.47,28900.16,4,130.54,-545.6099999999999,1802.404375,-34.100624999999994,July 2022
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,113099,61.61,225.95,9043.78,9053.68,0,0,-164.33999999999997,695.6753846153847,-12.64153846153846,July 2022
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,23848,45.2,12.42,2570.32,2546.77,0,0,32.78,1285.16,16.39,July 2022
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,25,223827,272.18,363.37,21846.88,21774.91,1,50.06,-91.19,873.8752000000001,-3.6475999999999997,July 2022
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,634713,637.87,3220.09,113857.28,114908.05,0,0,-2582.2200000000003,5421.775238095238,-122.96285714285716,July 2022
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,15,262757,169.09,381.78,26192.42,26217.59,4,66.33,-212.68999999999997,1746.1613333333332,-14.17933333333333,July 2022
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,313127,592.13,3401.77,82678.36,84535.29,0,0,-2809.64,3758.1072727272726,-127.71090909090908,July 2022
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,171254,166.88,280.37,15136.72,15158.72,0,0,-113.49000000000001,720.7961904761904,-5.404285714285715,July 2022
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,42393,53.15,30.0,1988.09,1959.46,0,0,23.15,497.0225,5.7875,July 2022
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,253053,1459.39,6141.35,65541.86,67536.65,0,0,-4681.96,5461.821666666667,-390.16333333333336,July 2022
"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",,,311,7246237,777274.75,772344.67,1246425.81,1333684.79,10,246.93,4930.079999999958,4007.800032154341,15.852347266880894,July 2022
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,14,3459965,1057.08,533.07,59303.98,56450.78,0,0,524.0099999999999,4235.998571428571,37.429285714285705,July 2022
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,30,12798164,3142.63,2051.72,231851.8,221787.96,0,0,1090.9100000000003,7728.3933333333325,36.363666666666674,July 2022
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,7181262,2328.99,1209.2,117218.53,111700.45,0,0,1119.7899999999997,4341.427037037037,41.47370370370369,July 2022
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,9245074,2599.35,1354.68,168438.05,160389.8,0,0,1244.6699999999998,6478.386538461538,47.87192307692307,July 2022
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,24,8659248,2705.41,925.96,113332.11,108472.12,0,0,1779.4499999999998,4722.17125,74.14375,July 2022
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,587383,102.58,87.55,9946.11,9524.38,0,0,15.030000000000001,1243.26375,1.8787500000000001,July 2022
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,22,4203723,1083.25,656.24,82030.24,78483.18,0,0,427.01,3728.647272727273,19.409545454545455,July 2022
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,26,5270192,1684.01,911.49,99933.56,95291.31,0,0,772.52,3843.5984615384614,29.712307692307693,July 2022
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,118,12455778,3156.32,2940.85,154214.16,148315.21,0,0,215.47000000000025,1306.8996610169493,1.8260169491525444,July 2022
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,39,14234392,1320.54,992.69,147910.92,141039.13,0,0,327.8499999999999,3792.5876923076926,8.406410256410254,July 2022
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,31,12157663,3473.89,2092.34,231327.51,220776.98,0,0,1381.5499999999997,7462.177741935484,44.566129032258054,July 2022
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,365,90252844,22654.05,13755.8,1415506.96,1352231.3,0,0,8898.25,3878.1012602739725,24.37876712328767,July 2022
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2022
